productname,date,farmprice,retailpricepettah,retailpricedambulla,averagespread
Beans,1/1/2009,77.02,107.26,100.46,26.84
Carrot,1/1/2009,96.13,130.68,138.29,38.36
Cabbage,1/1/2009,70.52,87.92,101.58,24.23
Tomato,1/1/2009,100.17,131.79,130.28,30.86
Brinjal,1/1/2009,63.11,83.44,79.88,18.55
Pumpkin,1/1/2009,66.78,81.14,92.39,19.98
Snake Gourd,1/1/2009,49.34,68.87,64.51,17.35
Green Chilli,1/1/2009,131.4,183.08,184.93,52.6
Lime,1/1/2009,170.55,228.48,233.13,60.25
Beans,2/1/2009,90.6,116.84,124.22,29.93
Carrot,2/1/2009,118.42,156.25,167.97,43.69
Cabbage,2/1/2009,85.46,115.41,123.88,34.18
Tomato,2/1/2009,96.58,135.19,121.55,31.79
Brinjal,2/1/2009,73.37,91.25,99.54,22.02
Pumpkin,2/1/2009,67.36,86.44,87.24,19.48
Snake Gourd,2/1/2009,59.95,78.46,75.93,17.24
Green Chilli,2/1/2009,111.21,153.69,155.25,43.26
Lime,2/1/2009,169.98,215.34,243.24,59.31
Beans,3/1/2009,85.54,107.31,121.87,29.05
Carrot,3/1/2009,131.81,172.83,164.79,37
Cabbage,3/1/2009,91.02,111.37,125.73,27.53
Tomato,3/1/2009,111.66,147.81,161.63,43.06
Brinjal,3/1/2009,64.98,78.14,81.49,14.83
Pumpkin,3/1/2009,53,65.4,71.06,15.23
Snake Gourd,3/1/2009,53.54,67.44,74.43,17.4
Green Chilli,3/1/2009,152.76,213.38,209.49,58.68
Lime,3/1/2009,143.08,185.78,191.92,45.77
Beans,4/1/2009,101.02,134.57,126.95,29.74
Carrot,4/1/2009,115.33,143.24,165.17,38.88
Cabbage,4/1/2009,82.08,101.23,108.88,22.98
Tomato,4/1/2009,113.42,146.61,143.72,31.75
Brinjal,4/1/2009,77.95,105.8,105.85,27.87
Pumpkin,4/1/2009,61.48,83.21,79.97,20.11
Snake Gourd,4/1/2009,61.41,85.9,83.12,23.1
Green Chilli,4/1/2009,124.1,154.67,155.58,31.03
Lime,4/1/2009,142.88,197.82,185.73,48.9
Beans,5/1/2009,93.85,130.66,122.2,32.58
Carrot,5/1/2009,105.42,146.12,152.79,44.04
Cabbage,5/1/2009,96.45,118.02,131.78,28.45
Tomato,5/1/2009,123.62,159.7,168.22,40.34
Brinjal,5/1/2009,74.35,94.94,93.82,20.03
Pumpkin,5/1/2009,56.17,72.59,77.54,18.9
Snake Gourd,5/1/2009,58.23,77.39,73.9,17.42
Green Chilli,5/1/2009,138.56,170.35,194.8,44.02
Lime,5/1/2009,141.7,174.92,199.86,45.69
Beans,6/1/2009,87.45,122.31,114.87,31.14
Carrot,6/1/2009,117.06,147.31,158.97,36.08
Cabbage,6/1/2009,80.56,108.22,115.82,31.46
Tomato,6/1/2009,84.95,115.34,116.27,30.85
Brinjal,6/1/2009,72.89,95,98.68,23.95
Pumpkin,6/1/2009,61,75.79,77.15,15.47
Snake Gourd,6/1/2009,58.09,72.37,81.93,19.06
Green Chilli,6/1/2009,140.51,184.54,199.8,51.66
Lime,6/1/2009,139.33,170.65,196.54,44.26
Beans,7/1/2009,87.73,113.38,121.07,29.49
Carrot,7/1/2009,100.68,133.77,137.32,34.86
Cabbage,7/1/2009,89.04,108.57,119.44,24.96
Tomato,7/1/2009,104.86,136.08,133.36,29.86
Brinjal,7/1/2009,82.8,110.92,108.99,27.16
Pumpkin,7/1/2009,49.58,62.06,62.14,12.52
Snake Gourd,7/1/2009,58.53,72.32,77.9,16.58
Green Chilli,7/1/2009,111.05,145.84,139.84,31.79
Lime,7/1/2009,155.97,213.75,214.72,58.26
Beans,8/1/2009,101.92,126.16,131.18,26.75
Carrot,8/1/2009,98.1,133.33,139.99,38.56
Cabbage,8/1/2009,80.47,98.79,108.51,23.18
Tomato,8/1/2009,100.62,139.33,136.4,37.25
Brinjal,8/1/2009,74.15,103.16,98.1,26.48
Pumpkin,8/1/2009,50.97,69.56,70.81,19.22
Snake Gourd,8/1/2009,58.71,78.53,82.13,21.62
Green Chilli,8/1/2009,129.38,165.79,183.01,45.02
Lime,8/1/2009,127.54,174.5,166.85,43.13
Beans,9/1/2009,77.85,100.78,105.67,25.38
Carrot,9/1/2009,107.98,146.03,139.87,34.97
Cabbage,9/1/2009,69.1,94.51,89.06,22.69
Tomato,9/1/2009,107.63,131.93,150.7,33.68
Brinjal,9/1/2009,81.29,100.76,105.68,21.93
Pumpkin,9/1/2009,56.84,79.51,72.54,19.19
Snake Gourd,9/1/2009,62.87,78.26,79.89,16.21
Green Chilli,9/1/2009,118.46,154.34,153.22,35.32
Lime,9/1/2009,127.48,160.93,170.85,38.41
Beans,10/1/2009,76.11,102.85,103.46,27.04
Carrot,10/1/2009,100.74,127.18,138.48,32.09
Cabbage,10/1/2009,69.57,85.23,88.46,17.28
Tomato,10/1/2009,80.88,112.34,108.69,29.64
Brinjal,10/1/2009,68.19,84.4,98.54,23.28
Pumpkin,10/1/2009,50.19,61.05,66.41,13.54
Snake Gourd,10/1/2009,48.29,60.85,61.4,12.84
Green Chilli,10/1/2009,109.77,146.8,150.65,38.96
Lime,10/1/2009,137.07,176.63,175.31,38.9
Beans,11/1/2009,75.26,92.02,105.17,23.33
Carrot,11/1/2009,95.05,120.26,125.37,27.77
Cabbage,11/1/2009,74.72,98.1,95.09,21.88
Tomato,11/1/2009,114.56,145.88,156.62,36.69
Brinjal,11/1/2009,72.95,91.87,98.43,22.2
Pumpkin,11/1/2009,47.08,64.17,63.64,16.83
Snake Gourd,11/1/2009,53.11,65.41,71.5,15.34
Green Chilli,11/1/2009,138.02,165.91,175.6,32.73
Lime,11/1/2009,112.93,155.57,149.72,39.71
Beans,12/1/2009,80.76,111.06,109.72,29.63
Carrot,12/1/2009,118.17,143.09,156.92,31.83
Cabbage,12/1/2009,84.76,106.37,113.82,25.33
Tomato,12/1/2009,93.14,122.64,117.55,26.96
Brinjal,12/1/2009,63.83,84.58,83,19.96
Pumpkin,12/1/2009,53.31,73.05,67.73,17.08
Snake Gourd,12/1/2009,67.17,84.67,96.68,23.51
Green Chilli,12/1/2009,122.7,151.65,173.61,39.93
Lime,12/1/2009,141.74,185.87,194.39,48.39
Beans,1/1/2010,88.38,121.54,127.95,36.37
Carrot,1/1/2010,108.13,133.77,142.51,30.01
Cabbage,1/1/2010,96.19,132.13,121.8,30.78
Tomato,1/1/2010,105.07,144.33,145.23,39.71
Brinjal,1/1/2010,61.89,77.96,79.52,16.85
Pumpkin,1/1/2010,58.85,77.83,81.23,20.68
Snake Gourd,1/1/2010,69.07,83.27,96.13,20.63
Green Chilli,1/1/2010,117.12,149.29,158.81,36.93
Lime,1/1/2010,147.17,181.53,204.56,45.88
Beans,2/1/2010,99.78,119.77,138.79,29.5
Carrot,2/1/2010,104.28,125.33,133.94,25.35
Cabbage,2/1/2010,84.24,106.45,116.14,27.06
Tomato,2/1/2010,121.25,149.66,174.79,40.97
Brinjal,2/1/2010,74.96,94.81,107.75,26.32
Pumpkin,2/1/2010,52.1,71.72,70.46,18.99
Snake Gourd,2/1/2010,64.23,84.26,82.02,18.91
Green Chilli,2/1/2010,137.04,172.6,196.22,47.37
Lime,2/1/2010,129.96,164.83,187.34,46.12
Beans,3/1/2010,94.49,128.47,136.98,38.24
Carrot,3/1/2010,104.4,135.29,134.27,30.38
Cabbage,3/1/2010,94.03,117.62,119.03,24.3
Tomato,3/1/2010,99.41,127.64,135.63,32.22
Brinjal,3/1/2010,69.28,86.85,91.53,19.91
Pumpkin,3/1/2010,49.99,63.2,71.79,17.51
Snake Gourd,3/1/2010,67.03,84.33,91.88,21.07
Green Chilli,3/1/2010,130.66,178,187.98,52.33
Lime,3/1/2010,148.5,201.24,196.85,50.54
Beans,4/1/2010,96.26,127.23,139.19,36.95
Carrot,4/1/2010,132.45,174.63,185.99,47.86
Cabbage,4/1/2010,77.77,99.69,99.4,21.78
Tomato,4/1/2010,103.9,137.77,138.37,34.17
Brinjal,4/1/2010,73.56,92.81,93.56,19.62
Pumpkin,4/1/2010,68.35,88.78,92.25,22.17
Snake Gourd,4/1/2010,73.95,102.02,100.19,27.15
Green Chilli,4/1/2010,146.22,188.25,189.71,42.76
Lime,4/1/2010,128.37,174.77,163.77,40.9
Beans,5/1/2010,85.56,106.08,122.74,28.85
Carrot,5/1/2010,131.47,158.37,166.31,30.87
Cabbage,5/1/2010,80.16,104.21,101.48,22.68
Tomato,5/1/2010,101.95,142.35,135.65,37.05
Brinjal,5/1/2010,73.83,91.76,103.86,23.98
Pumpkin,5/1/2010,62.55,78.68,89.45,21.52
Snake Gourd,5/1/2010,60.37,80.68,83.98,21.96
Green Chilli,5/1/2010,125.01,168.95,159.63,39.28
Lime,5/1/2010,151.05,199.95,192.03,44.94
Beans,6/1/2010,104.19,130.7,150.34,36.33
Carrot,6/1/2010,116.01,145.66,166.79,40.21
Cabbage,6/1/2010,84.41,113.36,114.98,29.76
Tomato,6/1/2010,109.89,145.6,144.36,35.09
Brinjal,6/1/2010,73.14,93.59,105.09,26.2
Pumpkin,6/1/2010,57.56,79.39,73.02,18.64
Snake Gourd,6/1/2010,66.36,89.26,88.79,22.67
Green Chilli,6/1/2010,147.47,194.46,203.43,51.48
Lime,6/1/2010,153.29,209.9,211.27,57.3
Beans,7/1/2010,93.76,114.16,132.8,29.72
Carrot,7/1/2010,88.56,112.73,112.36,23.98
Cabbage,7/1/2010,73.43,90.44,103.64,23.61
Tomato,7/1/2010,107.67,142.32,136.55,31.76
Brinjal,7/1/2010,67.34,90.88,88.91,22.55
Pumpkin,7/1/2010,56.05,74.54,73.59,18.02
Snake Gourd,7/1/2010,73.43,96.6,103.68,26.71
Green Chilli,7/1/2010,145.82,202.06,203.25,56.84
Lime,7/1/2010,164.67,228.85,210.81,55.16
Beans,8/1/2010,114.5,155.95,161.81,44.38
Carrot,8/1/2010,105.92,132,134.2,27.18
Cabbage,8/1/2010,80.34,104.75,108.47,26.27
Tomato,8/1/2010,96.42,128.5,130.23,32.94
Brinjal,8/1/2010,86.95,106.92,109.94,21.48
Pumpkin,8/1/2010,53.24,68.07,71.31,16.45
Snake Gourd,8/1/2010,63.57,76.41,81.86,15.56
Green Chilli,8/1/2010,143.95,184.95,191.54,44.3
Lime,8/1/2010,147.55,177.97,206.54,44.7
Beans,9/1/2010,80.21,104.01,111.39,27.49
Carrot,9/1/2010,96.88,129.5,139.52,37.63
Cabbage,9/1/2010,73.12,90.2,95.13,19.54
Tomato,9/1/2010,86.43,106.43,118.43,26
Brinjal,9/1/2010,67.44,90.81,89.34,22.64
Pumpkin,9/1/2010,53.79,65.16,72.18,14.88
Snake Gourd,9/1/2010,63.61,85.66,86.63,22.53
Green Chilli,9/1/2010,132.09,170.16,185.9,45.94
Lime,9/1/2010,136.42,190.48,185.9,51.77
Beans,10/1/2010,85.22,112.47,107.9,24.97
Carrot,10/1/2010,116.43,155.21,149.16,35.75
Cabbage,10/1/2010,86.48,110.42,112.74,25.1
Tomato,10/1/2010,90.67,114.42,122.69,27.88
Brinjal,10/1/2010,81.86,102.82,102.79,20.94
Pumpkin,10/1/2010,55.23,75.18,70.05,17.39
Snake Gourd,10/1/2010,63.67,88.74,84.89,23.14
Green Chilli,10/1/2010,120.25,144.65,166.46,35.31
Lime,10/1/2010,165.18,228.38,214.85,56.43
Beans,11/1/2010,100.55,125.91,133.23,29.02
Carrot,11/1/2010,105.45,143.17,143.69,37.98
Cabbage,11/1/2010,74.94,99.35,95.43,22.45
Tomato,11/1/2010,113.95,152.48,162.15,43.36
Brinjal,11/1/2010,82.26,106.02,109.2,25.35
Pumpkin,11/1/2010,52.93,69.4,74.16,18.85
Snake Gourd,11/1/2010,58.12,76.66,74.72,17.57
Green Chilli,11/1/2010,113.05,145.39,146.15,32.72
Lime,11/1/2010,139.78,178.19,181.35,39.99
Beans,12/1/2010,82.3,109.71,104.2,24.66
Carrot,12/1/2010,111.28,147.52,160.22,42.59
Cabbage,12/1/2010,86.04,104.47,107.81,20.1
Tomato,12/1/2010,91.76,119.75,117.63,26.93
Brinjal,12/1/2010,73.48,101.07,101.01,27.56
Pumpkin,12/1/2010,51.16,71.35,68.03,18.53
Snake Gourd,12/1/2010,65.59,79.69,92.82,20.66
Green Chilli,12/1/2010,150.97,205.71,211.62,57.7
Lime,12/1/2010,162.26,212.44,213.62,50.77
Beans,1/1/2011,100.53,135.62,133.76,34.16
Carrot,1/1/2011,127.97,167.01,160.43,35.75
Cabbage,1/1/2011,95.73,121.23,123.35,26.56
Tomato,1/1/2011,116.17,142.43,151.65,30.87
Brinjal,1/1/2011,65.13,89.36,88.42,23.76
Pumpkin,1/1/2011,64.64,86.88,81.33,19.46
Snake Gourd,1/1/2011,83.97,117.5,116.57,33.06
Green Chilli,1/1/2011,130.82,179.18,164.85,41.2
Lime,1/1/2011,185.45,225.47,233.33,43.95
Beans,2/1/2011,118.36,151.67,149.81,32.38
Carrot,2/1/2011,116.42,140.08,165.2,36.22
Cabbage,2/1/2011,91.96,119.44,128.08,31.8
Tomato,2/1/2011,111.79,153.86,154.53,42.4
Brinjal,2/1/2011,86.26,106.17,115.34,24.49
Pumpkin,2/1/2011,75.29,92.34,107.76,24.76
Snake Gourd,2/1/2011,78.48,100.99,112.58,28.3
Green Chilli,2/1/2011,146.93,180.09,190.53,38.38
Lime,2/1/2011,176.58,229.38,233.57,54.89
Beans,3/1/2011,119.79,164,167.72,46.07
Carrot,3/1/2011,116.69,150.53,162.73,39.94
Cabbage,3/1/2011,88.8,111.03,113.49,23.46
Tomato,3/1/2011,112.29,153.62,161.49,45.26
Brinjal,3/1/2011,90.4,111.43,117.53,24.08
Pumpkin,3/1/2011,74.2,91.79,98.02,20.7
Snake Gourd,3/1/2011,74.09,96.26,95.54,21.81
Green Chilli,3/1/2011,150.25,195.64,210.37,52.76
Lime,3/1/2011,173.25,212.22,237.19,51.46
Beans,4/1/2011,113.29,158.04,143.9,37.68
Carrot,4/1/2011,122.3,153.85,171.68,40.47
Cabbage,4/1/2011,93.29,123.98,116.69,27.04
Tomato,4/1/2011,143.51,176.94,207.72,48.82
Brinjal,4/1/2011,99.88,137.49,134.41,36.07
Pumpkin,4/1/2011,70.37,84.8,93.79,18.92
Snake Gourd,4/1/2011,90.67,119.85,122.09,30.3
Green Chilli,4/1/2011,157.58,191.43,208.14,42.2
Lime,4/1/2011,137.65,169.86,172.35,33.46
Beans,5/1/2011,104.04,127.4,144.49,31.9
Carrot,5/1/2011,110.12,145.68,140.07,32.75
Cabbage,5/1/2011,92.46,116.7,119.54,25.66
Tomato,5/1/2011,140.42,191.63,194.69,52.74
Brinjal,5/1/2011,99.96,135.03,138.96,37.04
Pumpkin,5/1/2011,53.94,66.3,70.87,14.65
Snake Gourd,5/1/2011,80.43,105.18,103.31,23.82
Green Chilli,5/1/2011,128.98,157.69,177.91,38.82
Lime,5/1/2011,179.31,222.37,239.63,51.69
Beans,6/1/2011,100.32,129.33,130.42,29.56
Carrot,6/1/2011,120.8,164.98,151.79,37.58
Cabbage,6/1/2011,90.4,115.15,126.78,30.56
Tomato,6/1/2011,114.02,144.62,165.23,40.9
Brinjal,6/1/2011,84.94,114.58,115.14,29.92
Pumpkin,6/1/2011,51.7,62.4,67.45,13.22
Snake Gourd,6/1/2011,63.8,85.81,83.52,20.86
Green Chilli,6/1/2011,128.76,166.58,176.8,42.93
Lime,6/1/2011,188.19,249.26,267.77,70.32
Beans,7/1/2011,93.5,118.42,118.45,24.94
Carrot,7/1/2011,116.38,156.77,153.83,38.92
Cabbage,7/1/2011,92.11,122.72,127.05,32.78
Tomato,7/1/2011,97.54,124.19,133.16,31.13
Brinjal,7/1/2011,82.93,114.15,117.63,32.96
Pumpkin,7/1/2011,49.83,65.37,64.1,14.9
Snake Gourd,7/1/2011,79.26,101.96,108.52,25.98
Green Chilli,7/1/2011,128.81,167.58,167.47,38.72
Lime,7/1/2011,183.96,242.25,262.47,68.4
Beans,8/1/2011,111.5,152.06,143.99,36.53
Carrot,8/1/2011,101.22,123.7,128.48,24.87
Cabbage,8/1/2011,74.44,99.04,107.65,28.91
Tomato,8/1/2011,106.71,146.41,135.89,34.44
Brinjal,8/1/2011,75.85,102.77,95.56,23.32
Pumpkin,8/1/2011,55.07,66.6,79.68,18.07
Snake Gourd,8/1/2011,54.17,66.93,68.52,13.56
Green Chilli,8/1/2011,152.49,199.12,210.35,52.24
Lime,8/1/2011,156.08,215.92,209.29,56.52
Beans,9/1/2011,91.12,121.58,131.32,35.33
Carrot,9/1/2011,97.73,118.52,133.45,28.25
Cabbage,9/1/2011,74.8,90.42,106.33,23.58
Tomato,9/1/2011,96.41,133.17,133.62,36.98
Brinjal,9/1/2011,76.56,98.5,103.68,24.53
Pumpkin,9/1/2011,52.39,69.37,67.33,15.96
Snake Gourd,9/1/2011,86.98,119.85,115.74,30.81
Green Chilli,9/1/2011,146.16,195.2,208.28,55.58
Lime,9/1/2011,166.15,209.62,207.75,42.54
Beans,10/1/2011,98.53,129.39,141.38,36.85
Carrot,10/1/2011,138.49,183.09,178.23,42.17
Cabbage,10/1/2011,82.99,113.46,114.75,31.12
Tomato,10/1/2011,107.19,138.15,147.23,35.5
Brinjal,10/1/2011,73.13,92.19,91.69,18.81
Pumpkin,10/1/2011,46.68,64.96,64.62,18.11
Snake Gourd,10/1/2011,58.22,76.06,74.16,16.89
Green Chilli,10/1/2011,121.65,147.57,154.27,29.27
Lime,10/1/2011,148.91,205.63,196.7,52.26
Beans,11/1/2011,105.76,145.3,132.53,33.16
Carrot,11/1/2011,140.45,187.42,194.49,50.51
Cabbage,11/1/2011,77.18,97.22,103.37,23.11
Tomato,11/1/2011,119.33,160.96,166.16,44.23
Brinjal,11/1/2011,73.07,99.54,94.06,23.73
Pumpkin,11/1/2011,62.36,78.88,82.55,18.35
Snake Gourd,11/1/2011,59.16,73.13,81.97,18.39
Green Chilli,11/1/2011,135.27,181,178.12,44.29
Lime,11/1/2011,183.31,222.75,243.79,49.96
Beans,12/1/2011,85.35,108.07,119.74,28.56
Carrot,12/1/2011,126.08,167.79,179.42,47.52
Cabbage,12/1/2011,85.35,106.73,121.03,28.53
Tomato,12/1/2011,102,123.22,139.47,29.34
Brinjal,12/1/2011,66.77,86.31,84.06,18.42
Pumpkin,12/1/2011,58.02,69.74,82.36,18.03
Snake Gourd,12/1/2011,71.3,89.21,96.5,21.56
Green Chilli,12/1/2011,131.84,163.26,183.35,41.46
Lime,12/1/2011,139.76,190.65,176.89,44.01
Beans,1/1/2012,101.73,135.55,136.7,34.39
Carrot,1/1/2012,115.58,144.31,151.72,32.44
Cabbage,1/1/2012,93.87,113.86,124.31,25.21
Tomato,1/1/2012,105.67,132.67,136.98,29.15
Brinjal,1/1/2012,105.5,133.49,148.55,35.52
Pumpkin,1/1/2012,73.11,96.63,98.44,24.42
Snake Gourd,1/1/2012,82.53,113.61,118.57,33.56
Green Chilli,1/1/2012,124.21,157.67,160.58,34.92
Lime,1/1/2012,176.41,241.85,228.79,58.91
Beans,2/1/2012,95.13,116.53,122.74,24.51
Carrot,2/1/2012,127.11,160.96,167.06,36.9
Cabbage,2/1/2012,122.09,157.03,152.73,32.79
Tomato,2/1/2012,154.67,187.08,213.93,45.84
Brinjal,2/1/2012,95.97,124.78,127.75,30.3
Pumpkin,2/1/2012,55.82,69.05,80.15,18.78
Snake Gourd,2/1/2012,72.11,95.03,103.19,27
Green Chilli,2/1/2012,162.9,214.73,218.67,53.8
Lime,2/1/2012,193.1,255.7,269.54,69.52
Beans,3/1/2012,90.6,125.44,124,34.12
Carrot,3/1/2012,125.14,154.87,173.54,39.06
Cabbage,3/1/2012,114.82,158.84,154.47,41.84
Tomato,3/1/2012,118.19,162.12,166.63,46.18
Brinjal,3/1/2012,78.47,103.88,109.3,28.12
Pumpkin,3/1/2012,63.59,79.73,86.97,19.76
Snake Gourd,3/1/2012,75.91,94.31,107.44,24.97
Green Chilli,3/1/2012,145.89,178.88,188.14,37.62
Lime,3/1/2012,191.56,268.13,269.12,77.06
Beans,4/1/2012,120.51,149.51,166.43,37.46
Carrot,4/1/2012,152.62,183.65,204.39,41.4
Cabbage,4/1/2012,101.06,136.52,127.85,31.12
Tomato,4/1/2012,119.91,148.54,157.28,33
Brinjal,4/1/2012,97.44,119.78,135.47,30.18
Pumpkin,4/1/2012,76.1,93.74,103.1,22.32
Snake Gourd,4/1/2012,74.09,93.14,104.13,24.54
Green Chilli,4/1/2012,146.28,181.01,198.5,43.47
Lime,4/1/2012,147.38,199.66,203.47,54.18
Beans,5/1/2012,119.1,151.1,159.42,36.16
Carrot,5/1/2012,153.18,213.14,193.58,50.18
Cabbage,5/1/2012,100.67,124,130.29,26.47
Tomato,5/1/2012,109.02,132.84,136.51,25.66
Brinjal,5/1/2012,86.09,105.37,123.63,28.41
Pumpkin,5/1/2012,62.09,86.91,83.71,23.22
Snake Gourd,5/1/2012,84.93,117.72,112.77,30.31
Green Chilli,5/1/2012,167.79,201.35,226.68,46.23
Lime,5/1/2012,174.61,220.39,234.69,52.93
Beans,6/1/2012,104.07,128.06,150.34,35.13
Carrot,6/1/2012,111.43,148.63,141.63,33.7
Cabbage,6/1/2012,95.74,123.73,120.16,26.21
Tomato,6/1/2012,149.11,181.49,208.66,45.96
Brinjal,6/1/2012,82.64,112.82,116.2,31.87
Pumpkin,6/1/2012,71.39,92.72,96.07,23
Snake Gourd,6/1/2012,74.56,96.63,99.75,23.63
Green Chilli,6/1/2012,133.88,180.92,192.33,52.74
Lime,6/1/2012,166.72,210.3,220.66,48.76
Beans,7/1/2012,94.85,122.89,124.15,28.67
Carrot,7/1/2012,148.56,188.98,211.51,51.68
Cabbage,7/1/2012,81.51,107.68,118.03,31.34
Tomato,7/1/2012,130.47,166.1,183.81,44.48
Brinjal,7/1/2012,86.64,105.91,123.47,28.05
Pumpkin,7/1/2012,68.08,85.31,91.7,20.43
Snake Gourd,7/1/2012,83.56,106.49,114.22,26.79
Green Chilli,7/1/2012,133.75,182.94,167.48,41.46
Lime,7/1/2012,188.86,231.73,236.67,45.34
Beans,8/1/2012,89.44,117.33,118.05,28.25
Carrot,8/1/2012,120.95,156.83,172.18,43.56
Cabbage,8/1/2012,101.17,127.62,132.48,28.88
Tomato,8/1/2012,146.83,204.17,188.33,49.42
Brinjal,8/1/2012,93.03,123.71,121.34,29.49
Pumpkin,8/1/2012,75.78,104.61,108.73,30.89
Snake Gourd,8/1/2012,67.75,86.81,88.41,19.86
Green Chilli,8/1/2012,151.14,184.62,192.49,37.42
Lime,8/1/2012,138.41,183.35,199.14,52.83
Beans,9/1/2012,116.62,146.33,148.63,30.86
Carrot,9/1/2012,126.87,172.71,175.8,47.39
Cabbage,9/1/2012,72.7,94.79,96.82,23.1
Tomato,9/1/2012,109.25,134.74,144.26,30.25
Brinjal,9/1/2012,70.12,93.28,92.95,22.99
Pumpkin,9/1/2012,67.01,85.08,95.32,23.19
Snake Gourd,9/1/2012,67.84,81.88,85.54,15.87
Green Chilli,9/1/2012,150.42,185.53,216.36,50.53
Lime,9/1/2012,167.43,218.91,212.39,48.22
Beans,10/1/2012,112.03,151.37,147.16,37.24
Carrot,10/1/2012,108.91,151.84,141.95,37.98
Cabbage,10/1/2012,110.41,136.48,140.4,28.03
Tomato,10/1/2012,109.2,141.8,157.17,40.28
Brinjal,10/1/2012,75.57,99.56,95.95,22.19
Pumpkin,10/1/2012,50.3,65.37,66.94,15.86
Snake Gourd,10/1/2012,60.2,82.28,76.5,19.19
Green Chilli,10/1/2012,138.98,180.27,191.92,47.12
Lime,10/1/2012,148.28,207.32,206.9,58.83
Beans,11/1/2012,107.13,141.1,136.64,31.74
Carrot,11/1/2012,109.2,133.47,151.68,33.38
Cabbage,11/1/2012,94.18,120.98,120.21,26.41
Tomato,11/1/2012,106.26,134.59,148.48,35.27
Brinjal,11/1/2012,70.99,92.9,96.79,23.86
Pumpkin,11/1/2012,61.38,74.39,79.01,15.32
Snake Gourd,11/1/2012,66.93,81.4,90.16,18.85
Green Chilli,11/1/2012,162.93,224.84,208.69,53.83
Lime,11/1/2012,167.89,211.91,221.74,48.94
Beans,12/1/2012,111.65,150.1,145.92,36.36
Carrot,12/1/2012,135.28,186.18,175.3,45.46
Cabbage,12/1/2012,78.38,103.44,100.82,23.75
Tomato,12/1/2012,118.18,145.69,148.36,28.84
Brinjal,12/1/2012,70.09,88.37,99.81,24
Pumpkin,12/1/2012,54.75,66.76,73.49,15.38
Snake Gourd,12/1/2012,71.4,97.52,94.86,24.79
Green Chilli,12/1/2012,115.82,161.98,154.37,42.36
Lime,12/1/2012,132.92,171.98,190.62,48.38
Beans,1/1/2013,95.83,123.29,134.38,33.01
Carrot,1/1/2013,137.12,169.94,195.67,45.68
Cabbage,1/1/2013,110.01,141.14,146.43,33.77
Tomato,1/1/2013,155.24,193.49,217.45,50.23
Brinjal,1/1/2013,84.89,104.78,118.7,26.85
Pumpkin,1/1/2013,56.77,69.08,81.85,18.69
Snake Gourd,1/1/2013,81.05,110.97,105.1,26.98
Green Chilli,1/1/2013,134.66,177.21,172.54,40.22
Lime,1/1/2013,215.87,293.71,298.88,80.42
Beans,2/1/2013,112.73,146.44,160.86,40.92
Carrot,2/1/2013,117.39,145.83,159.68,35.37
Cabbage,2/1/2013,120.17,153.04,164.91,38.8
Tomato,2/1/2013,146.54,200.11,212.15,59.59
Brinjal,2/1/2013,82.2,105.51,113.63,27.37
Pumpkin,2/1/2013,77.64,95.12,112.55,26.2
Snake Gourd,2/1/2013,97.16,122.19,133.22,30.54
Green Chilli,2/1/2013,154.07,213.37,198.51,51.87
Lime,2/1/2013,166.46,223.67,212.97,51.86
Beans,3/1/2013,111.17,137.29,157.32,36.13
Carrot,3/1/2013,142.84,196.16,194.6,52.54
Cabbage,3/1/2013,108.12,140.32,139.81,31.94
Tomato,3/1/2013,105.06,132.37,138.92,30.58
Brinjal,3/1/2013,88.58,106.79,126.8,28.22
Pumpkin,3/1/2013,63.53,76.74,89.79,19.74
Snake Gourd,3/1/2013,70,84.61,95.32,19.96
Green Chilli,3/1/2013,132.97,167.26,179.91,40.61
Lime,3/1/2013,219.38,284.97,291.58,68.9
Beans,4/1/2013,124.18,156.74,176.1,42.24
Carrot,4/1/2013,154.58,209.79,203.96,52.29
Cabbage,4/1/2013,78.14,105.54,105.07,27.16
Tomato,4/1/2013,127.24,176.67,172.55,47.37
Brinjal,4/1/2013,101.66,129.14,141.7,33.76
Pumpkin,4/1/2013,58.22,79.5,81.18,22.12
Snake Gourd,4/1/2013,85.78,116.12,120.17,32.36
Green Chilli,4/1/2013,153.75,200.64,202.32,47.73
Lime,4/1/2013,223.91,288.16,317.48,78.91
Beans,5/1/2013,135.22,168.62,188.65,43.42
Carrot,5/1/2013,148.7,187.55,185.88,38.02
Cabbage,5/1/2013,118.79,149.68,164.62,38.36
Tomato,5/1/2013,152,193.88,215.02,52.45
Brinjal,5/1/2013,118.92,165.95,153.41,40.76
Pumpkin,5/1/2013,69.25,96.32,99.75,28.78
Snake Gourd,5/1/2013,83.91,104.2,120.3,28.34
Green Chilli,5/1/2013,162.09,195.82,206.6,39.12
Lime,5/1/2013,163.34,210.69,224.33,54.17
Beans,6/1/2013,119.45,148.21,153.64,31.47
Carrot,6/1/2013,131.64,164.65,175.77,38.57
Cabbage,6/1/2013,114.66,144.92,144.33,29.97
Tomato,6/1/2013,102.25,141.1,129.86,33.23
Brinjal,6/1/2013,95.46,125.77,124.76,29.81
Pumpkin,6/1/2013,79.02,102.27,110.76,27.5
Snake Gourd,6/1/2013,72.16,98.25,96.26,25.1
Green Chilli,6/1/2013,178.36,243.4,245.32,66
Lime,6/1/2013,202.27,260.17,291.7,73.66
